Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,,
3.719398022,10.22216165,56,-11.20330497,25,0,-1,0,,,0.657235879,0.730421796
3.751361132,10.56290037,57,-11.20330497,25,0,0,0,,,55,23
3.783436537,10.56290037,57,-10.85320169,26,0,0,0,,,60,28
3.815686464,10.56290037,57,-10.85320169,26,0,0,0,,,57.071,25.478
3.847213745,10.90363909,58,-10.85320169,26,-1,0,0,,,,
3.879397154,10.56290037,57,-10.85320169,26,0,0,0,,,,
3.91156888,10.56290037,57,-10.85320169,26,-1,0,0,,,,
3.943759203,10.90363909,58,-11.20330497,25,0,0,0,,,,
3.97552824,10.56290037,57,-11.20330497,25,0,1,0,,,,
4.00741148,10.56290037,57,-10.85320169,26,0,0,0,,,,
4.039450169,10.56290037,57,-10.85320169,26,0,0,0,,,,
4.07164216,10.56290037,57,-10.85320169,26,0,0,0,,,,
4.103763819,10.56290037,57,-11.20330497,25,0,0,0,,,,
4.13546586,10.56290037,57,-11.20330497,25,0,0,0,,,,
4.167502165,10.56290037,57,-11.20330497,25,0,0,0,,,,
4.199893713,10.56290037,57,-10.85320169,26,0,0,0,,,,
4.231976271,10.22216165,56,-10.85320169,26,-1,0,0,,,,
4.264011383,10.56290037,57,-11.20330497,25,0,0,0,,,,
4.296108007,10.56290037,57,-11.20330497,25,0,0,0,,,,
4.327805519,11.24437781,59,-10.85320169,26,-1,0,0,,,,
4.36011529,10.56290037,57,-10.85320169,26,0,-1,0,,,,
4.391829014,10.56290037,57,-10.85320169,26,0,0,0,,,,
4.423914433,10.56290037,57,-11.20330497,25,0,1,0,,,,
4.456013203,10.56290037,57,-11.20330497,25,0,-1,0,,,,
4.48759532,10.56290037,57,-10.85320169,26,0,-1,0,,,,
4.519607782,10.22216165,56,-10.15299513,28,0,1,0,,,,
4.55200386,10.56290037,57,-10.85320169,26,0,0,0,,,,
4.584222317,10.56290037,57,-11.20330497,25,0,0,0,,,,
4.61605382,10.56290037,57,-11.20330497,25,-1,0,0,,,,
4.64827466,10.56290037,57,-11.55340826,24,0,0,0,,,,
4.679840803,10.90363909,58,-11.20330497,25,-1,0,0,,,,
4.712325335,10.56290037,57,-10.85320169,26,0,0,0,,,,
4.744487524,10.56290037,57,-10.85320169,26,0,0,0,,,,
4.776589155,10.56290037,57,-10.85320169,26,0,0,0,,,,
4.808391094,10.56290037,57,-11.20330497,25,0,0,0,,,,
4.839869261,11.24437781,59,-11.55340826,24,0,0,0,,,,
4.872415781,10.90363909,58,-10.85320169,26,-1,0,0,,,,
4.904051781,10.90363909,58,-11.20330497,25,0,0,0,,,,
4.93634963,10.56290037,57,-10.85320169,26,0,-1,0,,,,
4.968251944,10.56290037,57,-10.85320169,26,-1,0,0,,,,
5.000581503,10.56290037,57,-11.20330497,25,0,0,0,,,,
5.032154083,10.56290037,57,-11.20330497,25,0,0,0,,,,
5.064450264,10.56290037,57,-11.20330497,25,0,0,0,,,,
5.096611261,10.56290037,57,-11.20330497,25,0,0,0,,,,
5.12849617,10.56290037,57,-11.20330497,25,0,0,0,,,,
5.160948753,10.56290037,57,-10.85320169,26,0,0,0,,,,
5.19231391,10.56290037,57,-11.20330497,25,0,0,0,,,,
5.224153519,10.56290037,57,-10.50309841,27,0,0,0,,,,
