Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,,,
9.11008954,21.12580074,88,-11.55340826,24,0,0,1620,,,,,
9.141878605,18.05915224,79,-11.20330497,25,0,1,1620,,,,,
9.174098492,19.42210713,83,-11.20330497,25,0,-1,1560,,,,,
9.205839872,19.76284585,84,-11.20330497,25,0,-1,1560,,,,,
9.238077402,23.17023307,94,-10.85320169,26,0,0,1620,,,,,
9.269976854,24.53318795,98,-11.55340826,24,0,0,1620,,,,,
9.302276611,24.87392667,99,-11.20330497,25,0,0,1560,,,,,
9.334065914,23.51097179,95,-11.20330497,25,-1,0,1620,,,,,
9.365987301,23.51097179,95,-11.20330497,25,0,0,1620,,,,,
9.39807725,22.1480169,91,-11.20330497,25,0,0,1620,,,,,
9.43005538,20.78506201,87,-11.20330497,25,0,0,1560,,,,,
9.462096691,21.46653946,89,-10.85320169,26,0,0,1560,,,,,
9.494068384,19.42210713,83,-11.20330497,25,0,0,1680,,,,,
9.52618885,21.80727818,90,-11.20330497,25,0,0,1560,,,,,
9.557997704,22.82949434,93,-10.85320169,26,0,1,1620,,,,,
9.589868784,22.82949434,93,-10.50309841,27,0,0,1560,,,,,
9.622294426,21.80727818,90,-11.55340826,24,-1,0,1680,,,,,
9.654353857,19.76284585,84,-11.20330497,25,0,0,1620,,,,,
9.686285257,19.76284585,84,-11.20330497,25,1,0,1620,,,,,
9.734261513,20.78506201,87,-11.20330497,25,0,-1,1620,,,,,
9.766366243,22.1480169,91,-11.20330497,25,-1,0,1680,,,,,
9.798366785,18.05915224,79,-11.20330497,25,0,0,1620,,,,,
9.830409288,18.39989096,80,-11.20330497,25,0,0,1620,,,,,
9.863927603,18.74062969,81,-10.85320169,26,0,0,1620,,,,,
9.894584179,19.76284585,84,-10.85320169,26,0,0,1620,,,,,
9.926444292,21.80727818,90,-10.85320169,26,0,0,1620,,,,,
9.958402157,21.80727818,90,-10.85320169,26,-1,0,1620,,,,,
9.990371466,22.48875562,92,-10.50309841,27,0,1,1620,,,,,
10.0225358,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
10.05433011,22.82949434,93,-11.20330497,25,-1,0,1620,,,,,
10.08649611,20.10358457,85,-11.20330497,25,0,-1,1620,,,,,
10.11855817,19.42210713,83,-11.20330497,25,0,0,1680,,,,,
10.15060401,21.46653946,89,-11.20330497,25,-1,0,1620,,,,,
10.18257117,20.78506201,87,-11.20330497,25,0,-1,1680,,,,,
10.21465254,22.48875562,92,-11.20330497,25,0,0,1620,,,,,
10.24665475,20.78506201,87,-11.55340826,24,0,0,1620,,,,,
10.27870417,20.10358457,85,-11.20330497,25,0,-1,1620,,,,,
10.31071877,17.71841352,78,-11.20330497,25,1,-1,1620,,,,,
10.34264445,22.82949434,93,-10.85320169,26,-1,0,1620,,,,,
10.37450194,20.44432329,86,-10.85320169,26,0,1,1620,,,,,
10.40681148,20.78506201,87,-11.20330497,25,-1,1,1560,,,,,
10.43853068,21.46653946,89,-10.50309841,27,0,1,1620,,,,,
10.47083497,23.17023307,94,-11.20330497,25,-1,0,1620,,,,,
10.50291586,24.53318795,98,-11.20330497,25,-1,0,1620,,,,,
10.53489518,23.51097179,95,-11.20330497,25,0,0,1560,,,,,
10.5668726,24.19244923,97,-11.20330497,25,0,0,1620,,,,,
10.59907055,22.48875562,92,-11.20330497,25,-1,0,1620,,,,,
10.63095021,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
10.66437721,20.44432329,86,-11.20330497,25,0,1,1620,,,,,
10.6949625,21.12580074,88,-11.20330497,25,0,0,1680,,,,,
10.72693062,22.82949434,93,-11.20330497,25,0,-1,1620,,,,,
10.75886178,21.80727818,90,-11.20330497,25,0,0,1620,,,,,
10.79105353,22.1480169,91,-11.20330497,25,0,0,1620,,,,,
10.823066,22.48875562,92,-11.90351154,23,-1,0,1620,,,,,
10.85485268,21.46653946,89,-11.20330497,25,0,0,1620,,,,,
10.8872962,22.1480169,91,-11.20330497,25,0,1,1620,,,,,
10.91926408,19.42210713,83,-11.20330497,25,-1,0,1620,,,,,
10.9511497,19.76284585,84,-10.85320169,26,0,1,1620,,,,,
10.98312807,20.44432329,86,-11.20330497,25,0,0,1620,,,,,
11.01524353,22.48875562,92,-11.20330497,25,0,1,1680,,,,,
11.04726577,23.51097179,95,-11.20330497,25,-1,0,1620,,,,,
11.07925296,22.48875562,92,-11.20330497,25,-1,-1,1620,,,,,
11.11132145,23.17023307,94,-11.20330497,25,-1,-1,1560,,,,,
11.14331794,20.10358457,85,-11.20330497,25,-1,0,1620,,,,,
11.17534709,20.44432329,86,-11.20330497,25,0,0,1680,,,,,
11.20757222,19.08136841,82,-11.20330497,25,0,0,1620,,,,,
11.23930597,19.08136841,82,-11.20330497,25,0,1,1620,,,,,
11.27124572,19.76284585,84,-10.85320169,26,0,0,1680,,,,,
11.30345964,22.1480169,91,-11.20330497,25,0,0,1620,,,,,
11.3356328,22.48875562,92,-10.50309841,27,0,0,1620,,,,,
11.36749959,22.82949434,93,-11.20330497,25,0,0,1560,,,,,
11.39955306,22.82949434,93,-10.50309841,27,-1,1,1620,,,,,
11.43136048,21.12580074,88,-11.90351154,23,0,0,1620,,,,,
11.46475458,20.78506201,87,-11.20330497,25,-1,0,1680,,,,,
11.51155138,20.44432329,86,-11.20330497,25,0,0,1680,,,,,
11.54357553,21.46653946,89,-11.20330497,25,0,0,1680,,,,,
11.57570076,22.48875562,92,-11.20330497,25,-1,0,1620,,,,,
11.60763907,21.46653946,89,-10.85320169,26,0,1,1560,,,,,
11.63970566,19.76284585,84,-11.20330497,25,1,0,1620,,,,,
11.67181897,18.74062969,81,-10.85320169,26,0,0,1560,,,,,
11.70356703,22.1480169,91,-11.20330497,25,0,-1,1620,,,,,
11.73571777,20.44432329,86,-10.85320169,26,0,1,1620,,,,,
11.767838,22.1480169,91,-11.20330497,25,0,1,1620,,,,,
11.79984403,21.46653946,89,-11.20330497,25,0,0,1620,,,,,
11.83186889,20.78506201,87,-11.20330497,25,0,0,1620,,,,,
11.86384177,20.78506201,87,-11.55340826,24,-1,0,1620,,,,,
11.89584851,19.76284585,84,-10.50309841,27,0,0,1620,,,,,
11.92793059,20.10358457,85,-11.20330497,25,0,0,1620,,,,,
11.95992374,19.76284585,84,-11.20330497,25,0,0,1620,,,,,
11.99194837,23.51097179,95,-10.85320169,26,0,1,1680,,,,,
12.02393365,22.1480169,91,-11.55340826,24,0,0,1620,,,,,
12.05603313,21.12580074,88,-11.90351154,23,0,0,1620,,,,,
12.0879643,22.48875562,92,-11.20330497,25,0,1,1620,,,,,
12.11968946,20.44432329,86,-11.55340826,24,0,1,1620,,,,,
12.15188098,21.46653946,89,-11.90351154,23,-1,0,1680,,,,,
12.18405628,22.1480169,91,-11.20330497,25,0,0,1620,,,,,
12.21610713,20.44432329,86,-11.20330497,25,1,0,1620,,,,,
12.24823356,20.78506201,87,-11.20330497,25,0,0,1620,,,,,
12.28159451,22.1480169,91,-11.20330497,25,0,0,1620,,,,,
12.31209421,23.85171051,96,-10.85320169,26,0,0,1680,,,,,
12.34421587,22.1480169,91,-11.20330497,25,0,1,1620,,,,,
12.37637901,19.76284585,84,-10.85320169,26,0,1,1680,,,,,
12.40823793,20.78506201,87,-10.85320169,26,0,0,1680,,,,,
12.44031096,18.39989096,80,-11.20330497,25,0,0,1620,,,,,
12.47211647,17.03693608,76,-11.55340826,24,1,0,1620,,,,,
12.50422525,20.10358457,85,-11.20330497,25,0,0,1620,,,,,
12.53631425,20.10358457,85,-11.90351154,23,0,0,1620,,,,,
12.56853056,21.46653946,89,-11.20330497,25,0,0,1560,,,,,
12.60039258,23.51097179,95,-11.20330497,25,-1,0,1680,,,,,
12.63242197,23.17023307,94,-10.85320169,26,-1,0,1620,,,,,
12.66441727,20.10358457,85,-10.50309841,27,1,0,1620,,,,,
