Time Since Start, Front, Front ADC, Back, Back ADC, RPM ,,,,
9.142384529,-2.725909772,49,9.102685292,52,1620,,,,
9.17322731,1.022216165,60,10.15299513,55,1560,,,,
9.20527482,0.340738722,58,10.50309841,56,1560,,,,
9.237265825,-0.340738722,56,10.15299513,55,1560,,,,8.887721878
9.26926589,0,57,10.50309841,56,1500,,,,
9.301308632,0,57,9.802891853,54,1560,,,,
9.33335948,0.340738722,58,8.402478731,50,1560,,,,
9.365340948,0.340738722,58,9.452788573,53,1560,,,,
9.397387743,0,57,10.15299513,55,1560,,,,
9.429655075,0,57,9.802891853,54,1560,,,,
9.461511612,0,57,9.102685292,52,1500,,,,
9.493444681,0,57,10.15299513,55,1500,,,,
9.525515795,0,57,8.402478731,50,1560,,,,
9.557519197,0,57,9.802891853,54,1560,,,,
9.589434147,0.340738722,58,10.15299513,55,1560,,,,
9.621564865,-0.340738722,56,9.452788573,53,1560,,,,
9.653618336,0,57,10.15299513,55,1560,,,,
9.685721159,0,57,9.802891853,54,1560,,,,
9.717642784,0,57,8.052375451,49,1560,,,,
9.749629736,0.340738722,58,8.402478731,50,1560,,,,
9.781708479,0,57,9.802891853,54,1560,,,,
9.813919067,0.340738722,58,10.50309841,56,1500,,,,
9.845703602,0,57,9.802891853,54,1560,,,,
9.877775431,0,57,10.15299513,55,1560,,,,
9.910005331,-0.340738722,56,9.452788573,53,1560,,,,
9.943089485,0,57,8.752582012,51,1500,,,,
9.973837614,0,57,8.752582012,51,1560,,,,
10.00579381,0,57,10.50309841,56,1500,,,,
10.0378871,-0.340738722,56,8.752582012,51,1560,,,,
10.06987333,0,57,9.102685292,52,1560,,,,
10.1018517,0,57,8.402478731,50,1560,,,,
10.13388419,0.681477443,59,9.452788573,53,1560,,,,
10.16596794,0.681477443,59,8.752582012,51,1560,,,,
10.19788361,0.340738722,58,10.85320169,57,1500,,,,
10.22985482,0.340738722,58,10.15299513,55,1560,,,,
10.26213479,0,57,10.85320169,57,1560,,,,
10.29402924,0.340738722,58,11.20330497,58,1560,,,,
10.32606387,0,57,9.452788573,53,1560,,,,
10.35814166,0,57,9.102685292,52,1560,,,,
10.39005852,-0.340738722,56,10.85320169,57,1560,,,,
10.42213345,0.340738722,58,9.802891853,54,1560,,,,
10.4541955,-0.340738722,56,10.50309841,56,1560,,,,
10.48622775,0.340738722,58,10.15299513,55,1560,,,,
10.51824641,0,57,9.802891853,54,1560,,,,
10.55005479,-0.340738722,56,8.402478731,50,1560,,,,
10.58224821,0,57,9.102685292,52,1560,,,,
10.61404252,0.340738722,58,9.452788573,53,1500,,,,
10.64641142,0,57,9.452788573,53,1560,,,,
10.67822456,0,57,9.102685292,52,1560,,,,
10.71036673,0,57,7.002065609,46,1560,,,,
10.74339151,-0.340738722,56,8.752582012,51,1560,,,,
10.77439713,0,57,7.70227217,48,1620,,,,
10.80644894,-0.681477443,55,8.402478731,50,1560,,,,
10.83846211,0.340738722,58,9.452788573,53,1560,,,,
10.87046671,0,57,9.452788573,53,1500,,,,
10.90249252,0.340738722,58,9.802891853,54,1500,,,,
10.93449926,-0.681477443,55,8.752582012,51,1500,,,,
10.96650362,0.340738722,58,8.402478731,50,1500,,,,
10.998739,-0.340738722,56,9.452788573,53,1560,,,,
11.03034568,0.340738722,58,9.452788573,53,1560,,,,
11.0627048,-0.340738722,56,9.452788573,53,1500,,,,
11.09462357,0,57,9.802891853,54,1560,,,,
11.12667418,0,57,8.402478731,50,1500,,,,
11.15871406,0,57,9.102685292,52,1500,,,,
11.1909225,0,57,9.102685292,52,1560,,,,
11.22272444,0,57,9.452788573,53,1560,,,,
11.25481224,0,57,9.102685292,52,1560,,,,
11.28681064,1.022216165,60,8.052375451,49,1560,,,,
11.31881332,-0.340738722,56,9.102685292,52,1560,,,,
11.35078645,0,57,8.752582012,51,1500,,,,
11.38286424,0,57,8.402478731,50,1560,,,,
11.41487789,0,57,10.15299513,55,1500,,,,
11.44688654,0,57,10.15299513,55,1500,,,,
11.47867751,-0.681477443,55,9.802891853,54,1560,,,,
11.51091623,0.340738722,58,9.802891853,54,1560,,,,
11.54395604,0,57,8.402478731,50,1500,,,,
11.57491255,0,57,9.452788573,53,1560,,,,
11.60676742,0.340738722,58,10.15299513,55,1560,,,,
11.63904762,-0.340738722,56,9.802891853,54,1560,,,,
11.67118764,0.681477443,59,9.802891853,54,1560,,,,
11.70295978,0,57,9.102685292,52,1620,,,,
11.73506975,0.681477443,59,8.402478731,50,1560,,,,
11.76713681,0,57,9.102685292,52,1560,,,,
11.79915047,0.340738722,58,11.20330497,58,1560,,,,
11.83109903,1.022216165,60,10.85320169,57,1560,,,,
11.8631947,0,57,10.85320169,57,1560,,,,
11.8953402,0,57,10.15299513,55,1560,,,,
11.92730856,0,57,9.102685292,52,1560,,,,
11.95927787,-1.022216165,54,9.102685292,52,1560,,,,
11.99128079,-0.340738722,56,9.802891853,54,1560,,,,
12.02333403,0,57,9.802891853,54,1560,,,,
12.05536246,0.340738722,58,9.102685292,52,1560,,,,
12.08746886,-0.340738722,56,9.452788573,53,1500,,,,
12.11935568,0.340738722,58,9.452788573,53,1560,,,,
12.15140414,0,57,7.35216889,47,1560,,,,
12.18341684,0.681477443,59,8.752582012,51,1560,,,,
12.21541452,0,57,9.802891853,54,1560,,,,
12.2474277,0.340738722,58,10.50309841,56,1500,,,,
12.27931404,0,57,9.102685292,52,1560,,,,
12.311378,0.340738722,58,8.752582012,51,1500,,,,
12.34454298,0.340738722,58,7.70227217,48,1500,,,,
12.37554908,0,57,9.102685292,52,1500,,,,
12.40753055,0,57,9.802891853,54,1560,,,,
12.4395802,0,57,9.802891853,54,1500,,,,
12.47153234,0,57,9.102685292,52,1500,,,,
12.50363016,0,57,7.70227217,48,1560,,,,
12.53567052,0,57,7.70227217,48,1560,,,,
12.56752181,0,57,8.052375451,49,1500,,,,
12.5997498,0,57,9.802891853,54,1560,,,,
12.63173747,0.340738722,58,9.452788573,53,1560,,,,
12.66363716,0,57,9.452788573,53,1560,,,,
12.69595337,0,57,9.802891853,54,1620,,,,
12.72793221,0,57,8.752582012,51,1560,,,,
12.76009417,-1.022216165,54,8.402478731,50,1500,,,,
12.79186511,0,57,8.052375451,49,1500,,,,
12.82388568,0,57,10.15299513,55,1560,,,,
12.85561681,0.340738722,58,9.802891853,54,1560,,,,
12.88794422,0,57,9.452788573,53,1500,,,,
12.91999483,0.340738722,58,8.752582012,51,1500,,,,
12.95214176,0.340738722,58,9.102685292,52,1500,,,,
12.99999261,0,57,7.70227217,48,1500,,,,
13.03197885,0,57,11.20330497,58,1560,,,,
13.06376028,0,57,9.452788573,53,1560,,,,
13.09615993,0,57,9.102685292,52,1500,,,,
13.12829423,0,57,9.102685292,52,1560,,,,
13.16159058,0,57,9.452788573,53,1560,,,,
13.20814061,0.340738722,58,9.102685292,52,1560,,,,
13.24007154,0,57,10.15299513,55,1560,,,,
13.27202249,0,57,10.85320169,57,1500,,,,
13.30423021,0,57,9.452788573,53,1560,,,,
13.33609581,0.681477443,59,8.752582012,51,1560,,,,
13.36824942,0.681477443,59,8.752582012,51,1500,,,,
13.40030837,-0.340738722,56,9.452788573,53,1560,,,,
13.43254304,0,57,9.102685292,52,1560,,,,
13.46414948,0,57,9.452788573,53,1560,,,,
13.49620104,-0.681477443,55,9.452788573,53,1560,,,,
13.52817726,0,57,8.752582012,51,1560,,,,
13.56045532,0,57,8.752582012,51,1560,,,,
13.59248424,0.681477443,59,8.752582012,51,1560,,,,
13.62432003,0,57,8.402478731,50,1560,,,,
13.65644431,0,57,8.752582012,51,1560,,,,
13.68843508,0,57,9.102685292,52,1500,,,,
13.72063661,0,57,10.15299513,55,1500,,,,
13.75254631,0,57,10.15299513,55,1500,,,,
13.78456879,0.340738722,58,8.052375451,49,1500,,,,
13.81657147,0,57,9.102685292,52,1560,,,,
13.84866476,0,57,8.752582012,51,1560,,,,
13.88073874,0.340738722,58,9.452788573,53,1560,,,,
13.91288733,0,57,9.452788573,53,1560,,,,
13.94490767,0.340738722,58,8.752582012,51,1560,,,,
13.97780252,0,57,9.102685292,52,1560,,,,
14.00897813,0,57,8.402478731,50,1620,,,,
14.04093552,0,57,9.452788573,53,1560,,,,
14.07281184,0.340738722,58,10.50309841,56,1560,,,,
14.10477281,0.340738722,58,10.50309841,56,1560,,,,
14.1368103,0,57,9.802891853,54,1560,,,,
14.16883922,-0.340738722,56,8.752582012,51,1560,,,,
14.20089698,0,57,8.402478731,50,1500,,,,
14.23300314,0,57,9.452788573,53,1560,,,,
14.2646606,0,57,10.15299513,55,1500,,,,
14.29694605,0,57,9.802891853,54,1560,,,,
14.32903647,-0.340738722,56,9.802891853,54,1560,,,,
14.36109281,0,57,9.102685292,52,1560,,,,
14.39292693,0,57,8.752582012,51,1560,,,,
14.42499828,0,57,9.102685292,52,1560,,,,
14.45716882,0,57,10.15299513,55,1560,,,,
14.4887805,0.340738722,58,10.15299513,55,1560,,,,
14.52113318,0,57,9.802891853,54,1560,,,,
14.56901956,0,57,10.85320169,57,1560,,,,
14.60124183,0.340738722,58,9.452788573,53,1560,,,,
14.63311291,0,57,9.802891853,54,1500,,,,
14.66514373,0.340738722,58,9.802891853,54,1560,,,,
14.69725537,0,57,8.752582012,51,1500,,,,
14.7452271,-0.340738722,56,10.15299513,55,1560,,,,
14.77711082,0,57,9.452788573,53,1560,,,,
14.81055236,0,57,9.102685292,52,1560,,,,
14.84135079,0,57,10.85320169,57,1560,,,,
14.87336516,0.681477443,59,9.452788573,53,1560,,,,
14.9056282,0,57,10.15299513,55,1560,,,,
14.93739247,0,57,10.15299513,55,1560,,,,
14.96941423,0,57,8.752582012,51,1500,,,,
15.00163341,0,57,9.802891853,54,1560,,,,
15.03342724,0,57,8.052375451,49,1560,,,,
15.06549478,1.022216165,60,9.102685292,52,1560,,,,
15.09737802,0.340738722,58,10.50309841,56,1560,,,,
15.12936115,0.340738722,58,8.752582012,51,1560,,,,
15.16150236,0.340738722,58,9.452788573,53,1500,,,,
15.19361067,0.681477443,59,8.752582012,51,1500,,,,
15.22559905,0,57,8.752582012,51,1560,,,,
15.25778413,0,57,9.452788573,53,1560,,,,
15.28965116,0,57,10.15299513,55,1560,,,,
15.32168508,-0.340738722,56,9.452788573,53,1560,,,,
15.35371923,0,57,9.452788573,53,1620,,,,
15.38574696,0.340738722,58,8.752582012,51,1620,,,,
15.4177773,0,57,9.102685292,52,1560,,,,
15.44982767,-0.340738722,56,9.452788573,53,1560,,,,
15.48183298,0,57,9.452788573,53,1560,,,,
15.51378655,0,57,9.802891853,54,1560,,,,
15.54623055,0,57,9.452788573,53,1560,,,,
15.57804608,0,57,9.452788573,53,1560,,,,
15.61189032,0,57,9.102685292,52,1560,,,,
15.65792012,0,57,9.802891853,54,1500,,,,
15.69005823,1.022216165,60,9.452788573,53,1560,,,,
15.72192717,0,57,8.052375451,49,1560,,,,
15.75407195,-0.340738722,56,9.102685292,52,1560,,,,
15.78600097,0,57,9.452788573,53,1560,,,,
