Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,
3.703195333,0.681477443,27,-10.15299513,59,56,0,0,,,58
3.735561609,1.022216165,28,-10.15299513,59,58,1,0,,,61
3.767572641,0.681477443,27,-10.15299513,59,57,1,0,,,0.442949207
3.799412012,0.681477443,27,-10.15299513,59,57,1,0,,,
3.831521749,0.681477443,27,-9.802891853,60,57,1,0,,,
3.863610029,0.681477443,27,-10.15299513,59,56,1,0,,,
3.895745516,0.681477443,27,-10.15299513,59,57,0,0,,,
3.927938461,0.681477443,27,-10.15299513,59,58,1,0,,,
3.959533453,0.681477443,27,-10.15299513,59,58,1,0,,,
3.991532803,0.681477443,27,-10.15299513,59,58,1,0,,,
4.023162365,1.022216165,28,-10.15299513,59,57,1,0,,,
4.055504322,0.681477443,27,-10.15299513,59,58,0,0,,,
4.087545633,1.022216165,28,-10.15299513,59,57,1,0,,,
4.119684219,1.022216165,28,-10.15299513,59,57,1,0,,,
4.151605844,0.681477443,27,-10.15299513,59,57,0,0,,,
4.183121443,0.681477443,27,-10.15299513,59,57,1,0,,,
4.215413332,0.681477443,27,-10.15299513,59,57,1,0,,,
4.247385025,1.022216165,28,-10.15299513,59,57,1,0,,,
4.279781818,0.681477443,27,-10.15299513,59,57,1,0,,,
4.311782837,0.681477443,27,-10.15299513,59,57,1,0,,,
4.343861818,1.022216165,28,-10.15299513,59,58,1,0,,,
4.375763893,1.022216165,28,-10.15299513,59,58,1,0,,,
4.407922268,0.681477443,27,-9.802891853,60,58,1,0,,,
4.439525604,0.681477443,27,-10.15299513,59,57,1,0,,,
4.471647263,0.681477443,27,-10.15299513,59,58,1,0,,,
4.503930807,1.022216165,28,-9.802891853,60,57,1,0,,,
4.535410166,0.681477443,27,-10.15299513,59,58,1,0,,,
4.567279339,0.681477443,27,-9.802891853,60,57,1,0,,,
4.599529982,1.022216165,28,-9.802891853,60,57,0,0,,,
4.631917953,1.022216165,28,-10.15299513,59,58,1,0,,,
4.663734674,0.681477443,27,-9.802891853,60,57,1,0,,,
4.696067572,1.022216165,28,-10.15299513,59,57,0,0,,,
4.727792978,0.681477443,27,-10.15299513,59,57,1,0,,,
4.75983119,0.681477443,27,-10.15299513,59,57,1,0,,,
4.792166948,1.022216165,28,-10.15299513,59,58,0,0,,,
4.824052572,0.681477443,27,-10.15299513,59,57,1,0,,,
4.856335402,0.681477443,27,-10.15299513,59,57,0,0,,,
4.887871742,1.022216165,28,-9.802891853,60,58,1,0,,,
4.919950008,0.681477443,27,-9.802891853,60,57,1,0,,,
4.951909781,1.022216165,28,-10.15299513,59,57,0,0,,,
4.983865499,1.022216165,28,-10.15299513,59,57,1,0,,,
5.015996695,1.022216165,28,-10.15299513,59,57,1,0,,,
5.048200369,0.681477443,27,-9.802891853,60,57,1,0,,,
5.07988143,0.681477443,27,-9.802891853,60,57,0,0,,,
5.112534285,0.681477443,27,-10.15299513,59,57,1,0,,,
5.144268036,0.681477443,27,-9.802891853,60,57,1,0,,,
5.176539898,1.022216165,28,-10.15299513,59,57,1,0,,,
5.208455563,0.681477443,27,-10.15299513,59,58,0,0,,,
5.240517139,0.681477443,27,-10.15299513,59,57,0,0,,,
5.272583961,1.022216165,28,-9.802891853,60,57,1,0,,,
5.304224491,0.681477443,27,-10.15299513,59,57,1,0,,,
5.33638072,0.681477443,27,-10.15299513,59,57,0,0,,,
5.368052959,0.681477443,27,-10.15299513,59,57,1,0,,,
5.400051355,1.022216165,28,-10.15299513,59,57,1,0,,,
5.432608604,0.681477443,27,-10.15299513,59,56,0,0,,,
5.46477747,0.681477443,27,-10.15299513,59,56,0,0,,,
5.496688843,0.681477443,27,-10.15299513,59,57,1,0,,,
5.528326273,1.022216165,28,-10.15299513,59,58,1,0,,,
5.560856581,0.681477443,27,-10.15299513,59,57,1,0,,,
5.592510223,0.681477443,27,-10.15299513,59,58,1,0,,,
5.624822855,1.022216165,28,-9.802891853,60,57,1,0,,,
5.656800747,0.681477443,27,-10.15299513,59,58,1,0,,,
5.688875675,1.022216165,28,-10.15299513,59,58,1,0,,,
5.720496178,0.681477443,27,-9.802891853,60,57,1,0,,,
5.753038883,0.681477443,27,-10.15299513,59,58,1,0,,,
5.784685612,0.681477443,27,-10.15299513,59,58,1,0,,,
5.816370964,1.022216165,28,-10.15299513,59,58,0,0,,,
5.848334551,0.681477443,27,-10.15299513,59,58,0,0,,,
5.881158829,0.681477443,27,-10.15299513,59,58,1,0,,,
5.913106918,0.681477443,27,-10.15299513,59,57,1,0,,,
5.94500947,0.681477443,27,-10.15299513,59,58,0,0,,,
5.977118492,0.681477443,27,-10.15299513,59,57,1,0,,,
6.009128094,0.681477443,27,-10.15299513,59,57,1,0,,,
6.041196346,0.681477443,27,-10.15299513,59,57,1,0,,,
6.07312274,0.681477443,27,-10.15299513,59,57,1,0,,,
6.105288982,0.681477443,27,-10.15299513,59,57,1,0,,,
6.137229204,1.022216165,28,-10.15299513,59,58,0,0,,,
6.168870449,0.681477443,27,-10.15299513,59,57,1,0,,,
6.201286316,1.022216165,28,-10.15299513,59,58,1,0,,,
6.233003139,1.022216165,28,-9.802891853,60,58,0,0,,,
6.264740944,1.022216165,28,-10.15299513,59,58,0,0,,,
6.297329426,0.681477443,27,-10.15299513,59,58,0,0,,,
6.329023361,1.022216165,28,-10.15299513,59,57,1,0,,,
6.361397743,1.022216165,28,-10.15299513,59,58,0,0,,,
6.39333272,0.681477443,27,-10.15299513,59,57,0,0,,,
6.425050259,0.681477443,27,-10.15299513,59,57,1,0,,,
